"event_id","event_type","alert_or_stage","facility_type","location","district_scope","event_start_kst","event_end_kst","time_precision","reported_or_status_at_kst","last_confirmed_kst","event_detail","vehicle_control","pedestrian_control","vehicle_control_start_kst","pedestrian_control_start_kst","flood_confirmed","flood_observed_kst","evacuation_occurred","formal_evacuation_order","affected_or_evacuated","verification_status","source_authority","primary_source_title","primary_source_url","supporting_source_title","supporting_source_url","evidence_note","mvp_usage_note","link_check_status","link_checked_date"
"RV-001","하천변 조치","","하천변 주차장","탄천 둔치주차장 2개소(명칭 미기재)","서울시 탄천; 강남구 특정 불가","","","","","","차량 대피","차량 대피","","","","","","","","","부분확인(주차장 명칭·시작·해제·보행통제 공란)","공식(서울특별시 물순환안전국)","서울시 호우피해 현황 및 복구관련 긴급 현황 보고","https://mas.smc.seoul.kr/record/appendixDownload.do?key=0e4ffd51e00b3613782e78b385145bd61bd7ce551fdcf6469d7aea8106e159a895151257e1ff0461","","","공식 보고서는 탄천 둔치주차장 2개소 차량 대피만 기재.","차량 대피 사실만 저장; 위치 특정 전에는 경로 차단에 사용하지 않음.","2026-08-15 재확인: 열림·PDF 해당 근거 확인","2026-08-15"
"SW-001","지하철 영향","","지하철역","2호선 삼성역","강남구","","","reported_at","2022-08-09T00:48:00+09:00","","누수 및 무정차 통과; 8월 9일 첫차부터 정상 운행","","","","","","","","","","부분확인(개별 시작·해제 분 시각 공란)","서울시 공식 매체+연합뉴스+서울교통공사 인용 보도","서울시 내 손안에 서울: 침수역 무정차 및 복구 경과","https://mediahub.seoul.go.kr/archives/2005293","뉴스핌: 1~8호선 첫차부터 정상 운행","https://www.newspim.com/news/view/20220809000023","서울시 매체는 누수·무정차를, 뉴스핌은 첫차부터 정상 및 복구 완료를 명시. 개별 역 정확한 시작·해제시각은 없음.","station_pass_through=true; exact start/end=null; 역사 출입 전면폐쇄로 해석하지 않음.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"SW-002","지하철 영향","","지하철역","2호선 선릉역","강남구","","","reported_at","2022-08-09T00:48:00+09:00","","누수 및 무정차 통과; 8월 9일 첫차부터 정상 운행","","","","","","","","","","부분확인(개별 시작·해제 분 시각 공란)","서울시 공식 매체+연합뉴스+서울교통공사 인용 보도","서울시 내 손안에 서울: 침수역 무정차 및 복구 경과","https://mediahub.seoul.go.kr/archives/2005293","뉴스핌: 1~8호선 첫차부터 정상 운행","https://www.newspim.com/news/view/20220809000023","서울시 매체는 누수·무정차를, 뉴스핌은 첫차부터 정상 및 복구 완료를 명시. 개별 역 정확한 시작·해제시각은 없음.","station_pass_through=true; exact start/end=null; 역사 출입 전면폐쇄로 해석하지 않음.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"SW-003","지하철 영향","","지하철역","3호선 대치역","강남구","","","reported_at","2022-08-09T00:48:00+09:00","","누수 및 무정차 통과; 8월 9일 첫차부터 정상 운행","","","","","","","","","","부분확인(개별 시작·해제 분 시각 공란)","서울시 공식 매체+연합뉴스+서울교통공사 인용 보도","서울시 내 손안에 서울: 침수역 무정차 및 복구 경과","https://mediahub.seoul.go.kr/archives/2005293","뉴스핌: 1~8호선 첫차부터 정상 운행","https://www.newspim.com/news/view/20220809000023","서울시 매체는 누수·무정차를, 뉴스핌은 첫차부터 정상 및 복구 완료를 명시. 개별 역 정확한 시작·해제시각은 없음.","station_pass_through=true; exact start/end=null; 역사 출입 전면폐쇄로 해석하지 않음.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"SW-004","지하철 운행변경","","지하철 노선","9호선","서울시; 강남권 신논현~중앙보훈병원 구간 운행","2022-08-08T21:46:00+09:00","","exact","2022-08-09T00:48:00+09:00","","개화~노량진 및 신논현~중앙보훈병원 분리운행; 노들~사평 운행 중단; 8월 9일 14:00 현재 전 구간 정상","","","","","","","","","","확인(정확한 정상화 시각 공란)","연합뉴스+서울시 공식 매체","연합뉴스: 80년만의 기록적 폭우, 서울 지하철이 멈춰 섰다","https://www.yna.co.kr/view/AKR20220808155851004","서울시 내 손안에 서울: 9일 14:00 전 구간 정상","https://mediahub.seoul.go.kr/archives/2005293","21:46 분리운행 시작은 연합뉴스 본문; 서울시 매체는 9일 14:00 현재 전 구간 정상. 정확한 종료 분 시각은 없음.","강남권 신논현~중앙보훈병원은 운행 구간이므로 강남역 폐쇄로 처리하지 않음; end=null.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"FL-001","침수확인","","도로","신사역 일대 도로","강남구·서초구 경계","","","date/night only","2022-08-08T22:01:00+09:00","","8일 밤 도로가 물에 잠긴 현장 사진·캡션","","","","","예","","","","","확인(관측 분 시각·통제범위 공란)","연합뉴스 현장사진","서울 도로 곳곳 침수…개포지하차도 등 전면통제","https://www.yna.co.kr/view/AKR20220808152800004","","","사진 캡션은 8일 밤 침수를 확인하지만 촬영 분 시각은 없음.","flood_observation=true; observed_at=null; 통제 이벤트로 자동 변환하지 않음.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"FL-002","침수확인","","도로","강남역 일대 도로·차도","강남구·서초구 경계","","","reported_at","2022-08-08T21:27:00+09:00","","하수 역류로 도로와 차도가 물에 잠김","","","","","예","","","","","확인(발생·관측 분 시각·통제범위 공란)","연합뉴스(자치구·소방 인용)+경향신문","폭우에 강남 일대 물바다…지하철 일부 멈추고 곳곳 정전","https://www.yna.co.kr/view/AKR20220808131851004","경향신문: 수도권 때린 물폭탄…한밤 귀갓길 잠겼다","https://www.khan.co.kr/article/202208082102025","연합뉴스와 경향신문 본문은 강남역 일대 도로·차도의 하수 역류 침수를 확인. 21:27은 연합뉴스 송고시각이지 발생·관측시각이 아님.","flood_observation=true; observed_at=null. 정확한 공식 관측시각·통제구간이 없어 특정 재생 시각의 경로 차단에는 사용하지 않음.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"FL-003","침수확인","","도로","대치역 인근 도로","강남구","","","date/night only","2022-08-09T00:23:00+09:00","","8일 밤 도로 침수; 차량과 보행자 통행에 불편","","","","","예","","","","","확인(관측 분 시각·공식 통제 여부 공란)","연합뉴스 현장사진","연합뉴스 서울 도로·지하철 종합2보","https://www.yna.co.kr/view/AKR20220808131853004","연합뉴스: 다시 물바다 된 강남…기록적 폭우 때마다 속수무책","https://www.yna.co.kr/view/AKR20220809036900004","두 기사 사진 캡션은 8일 밤 대치역 인근 도로 침수와 통행 불편을 확인. 이는 보행자 공식 통제 근거가 아니며 관측 분 시각도 없음.","flood_observation=true; observed_at=null; pedestrian_control은 공란 유지. 특정 재생 시각의 경로 차단에는 사용하지 않음.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"FL-005","침수확인","","도로","서초구 진흥아파트 인근 도로","서초구(강남 인접 참조)","","","date/night only","","","8일 밤 도로 침수로 광역버스 등 차량이 물에 잠겨 움직이지 못함","","","","","예","","","","","확인(관측 분 시각·공식 통제구간 공란)","경향신문 현장사진(연합뉴스 사진)","경향신문: 수도권 때린 물폭탄…한밤 귀갓길 잠겼다","https://www.khan.co.kr/article/202208082102025","","","현장사진 캡션은 8일 밤 진흥아파트 인근 도로 침수를 확인하지만 정확한 촬영·관측 분 시각과 공식 통제구간은 제시하지 않음.","flood_observation=true; observed_at=null. 강남구 경계 밖 참조 지점이며 특정 재생 시각의 경로 차단에는 사용하지 않음.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"FL-004","침수확인","","주택·마을","구룡마을(개포동) 침수 주택","강남구 개포동","","","status_at","2022-08-09T11:00:00+09:00","","반지하 등 침수 주택 배수 작업","","","","","예","","","","","확인(침수 시작·관측 분 시각 공란)","연합뉴스(강남구청 인용)+강남구청","구룡마을도 침수피해…89명 구호소로 대피","https://www.yna.co.kr/view/AKR20220809070500004","강남구청 수해 현장 복구 기록","https://www.gangnam.go.kr/board/mediaarchives/5484/view.do?mid=ID01_031203","8/9 11:00 기준 침수 주택 배수 작업 확인; 실제 침수 시작 시각은 없음.","flood_observation=true; observed_at=null; status_at만 저장.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
"EV-001","대피","","마을·대피소","구룡마을 → 구룡중학교 대피소","강남구 개포동","","","status_at","2022-08-09T11:00:00+09:00","","구룡마을 수해민 대피소 운영 및 주민 대피","","","","","","","예","","이재민 106명; 대피소 89명","대피 사실 확인; 공식 대피 지시 여부·발령시각 미확인","공식(강남구청)+연합뉴스(강남구청 인용)","강남구청 수해 현장 복구 기록","https://www.gangnam.go.kr/board/mediaarchives/5484/view.do?mid=ID01_031203","연합뉴스 구룡마을 이재민·대피소 현황","https://www.yna.co.kr/view/AKR20220809070500004","강남구청은 구룡중학교를 수해민 대피소로 명시; 연합뉴스는 8/9 11:00 기준 106명 중 89명 대피를 보도. 두 본문 모두 공식 대피명령 원문·발령시각은 제시하지 않으므로 해당 칸은 비움.","evacuation_occurred=true; formal_evacuation_order=null; order_start=null.","2026-08-15 재확인: 열림·해당 근거 본문 확인","2026-08-15"
