"organized_path","source_path","bytes","role","status","warning","storage"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-03하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-03하수수위60분현황.xlsx","19933","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-04하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-04하수수위60분현황.xlsx","19909","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-05하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-05하수수위60분현황.xlsx","19872","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-06하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-06하수수위60분현황.xlsx","19946","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-07하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-07하수수위60분현황.xlsx","19841","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-08하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-08하수수위60분현황.xlsx","19847","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-09하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-09하수수위60분현황.xlsx","19927","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-10하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-10하수수위60분현황.xlsx","19934","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-11하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-11하수수위60분현황.xlsx","19909","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-12하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-12하수수위60분현황.xlsx","19862","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-13하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-13하수수위60분현황.xlsx","20282","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-14하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-14하수수위60분현황.xlsx","19874","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-15하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-15하수수위60분현황.xlsx","19860","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-16하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-16하수수위60분현황.xlsx","19833","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-17하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-17하수수위60분현황.xlsx","19907","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-18하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-18하수수위60분현황.xlsx","19877","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-19하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-19하수수위60분현황.xlsx","19881","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-20하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-20하수수위60분현황.xlsx","19916","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-21하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-21하수수위60분현황.xlsx","19804","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-22하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-22하수수위60분현황.xlsx","19830","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-23하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-23하수수위60분현황.xlsx","19768","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-24하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-24하수수위60분현황.xlsx","19911","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-25하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-25하수수위60분현황.xlsx","19951","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-26하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-26하수수위60분현황.xlsx","19944","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-27하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-27하수수위60분현황.xlsx","20025","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-28하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-28하수수위60분현황.xlsx","19899","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-29하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-29하수수위60분현황.xlsx","19828","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-30하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-30하수수위60분현황.xlsx","19890","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-01-31하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-01-31하수수위60분현황.xlsx","19871","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-01하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-01하수수위60분현황.xlsx","19859","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-02하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-02하수수위60분현황.xlsx","19898","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-03하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-03하수수위60분현황.xlsx","19959","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-04하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-04하수수위60분현황.xlsx","19925","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-05하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-05하수수위60분현황.xlsx","19953","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-06하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-06하수수위60분현황.xlsx","19949","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-07하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-07하수수위60분현황.xlsx","19882","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-08하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-08하수수위60분현황.xlsx","19930","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-09하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-09하수수위60분현황.xlsx","19875","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-10하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-10하수수위60분현황.xlsx","19960","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-11하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-11하수수위60분현황.xlsx","19844","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-12하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-12하수수위60분현황.xlsx","19837","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-13하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-13하수수위60분현황.xlsx","19900","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-14하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-14하수수위60분현황.xlsx","19941","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-15하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-15하수수위60분현황.xlsx","19989","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-16하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-16하수수위60분현황.xlsx","19886","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-17하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-17하수수위60분현황.xlsx","19921","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-18하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-18하수수위60분현황.xlsx","19844","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-19하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-19하수수위60분현황.xlsx","19881","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-20하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-20하수수위60분현황.xlsx","19913","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-21하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-21하수수위60분현황.xlsx","20007","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-22하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-22하수수위60분현황.xlsx","19941","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-23하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-23하수수위60분현황.xlsx","19945","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
"reference\needs_mapping\sewer_level_hourly_gangnam_2023_2025\2023-02-24하수수위60분현황.xlsx","C:\2026_Mareungil\data\서울특별시 강남구_하수관로 수위현황_20250908\2023-02-24하수수위60분현황.xlsx","19948","multiyear_candidate","mapping_and_unit_required","Address columns require mapping to UNQ_NO; negative values and one 19.63 spike","NTFS hardlink"
