route_rank,route_id,source_objectid,source_s_id,evidence_reference_name,evidence_reference_longitude,evidence_reference_latitude,distance_from_evidence_reference_m,route_length_m,trace_overlap_sample_pct,expected_overlap_sample_pct,start_elevation_m,end_elevation_m,min_elevation_m,max_elevation_m,max_abs_slope_pct_proxy,elevation_method,end_minus_start_elevation_m,low_point_drop_from_start_m,terrain_drainage_interpretation,terrain_data_status,route_screening_status,route_screening_limit
21.0,ROUTE_0025,119148.0,2221.0,강남역 분석 기준점,127.02762,37.49794,605.3,130.8,0.0,0.0,16.84000015,16.60000038,16.60000038,16.84000015,3.67,21 route samples matched to nearest official elevation point,-0.2399997700000007,0.2399997700000007,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,상대비교 후보,공식 경로 후보의 상대비교이며 안전경로 확정 아님
22.0,ROUTE_0032,119155.0,2228.0,강남역 분석 기준점,127.02762,37.49794,679.2,54.2,0.0,0.0,16.60000038,16.60000038,16.60000038,16.60000038,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,상대비교 후보,공식 경로 후보의 상대비교이며 안전경로 확정 아님
23.0,ROUTE_0056,119179.0,2252.0,강남역 분석 기준점,127.02762,37.49794,681.5,44.3,38.1,100.0,13.63000011,13.63000011,13.63000011,13.63000011,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
24.0,ROUTE_0023,119146.0,2219.0,강남역 분석 기준점,127.02762,37.49794,690.0,54.2,100.0,0.0,15.22000027,15.22000027,15.22000027,16.75,56.41,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
25.0,ROUTE_0051,119174.0,2247.0,강남역 분석 기준점,127.02762,37.49794,711.0,44.2,19.0,100.0,13.65999985,13.65999985,13.65999985,13.65999985,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
26.0,ROUTE_0047,119170.0,2243.0,강남역 분석 기준점,127.02762,37.49794,719.3,302.4,66.7,61.9,10.89999962,13.65999985,10.89999962,13.65999985,9.52,21 route samples matched to nearest official elevation point,2.760000230000001,0.0,종점이 시작점보다 높은 공식경로 후보; 안전 보장 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
27.0,ROUTE_0031,119154.0,2227.0,강남역 분석 기준점,127.02762,37.49794,737.3,54.2,95.2,0.0,16.75,16.75,16.75,16.75,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
28.0,ROUTE_0028,119151.0,2224.0,강남역 분석 기준점,127.02762,37.49794,746.3,170.9,100.0,0.0,24.04999924,16.75,16.75,24.04999924,78.65,21 route samples matched to nearest official elevation point,-7.299999239999998,7.299999239999998,시작점보다 낮은 저점과 침수중첩이 있어 물고임 취약 가능성; 속도 실측 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
29.0,ROUTE_0037,119160.0,2233.0,강남역 분석 기준점,127.02762,37.49794,760.2,54.2,0.0,0.0,17.31999969,17.31999969,17.31999969,17.31999969,0.0,21 route samples matched to nearest official elevation point,0.0,0.0,표고·중첩만으로 물빠짐 속도 확정 불가,공식 표고점 기반 21개 표본 파생,상대비교 후보,공식 경로 후보의 상대비교이며 안전경로 확정 아님
30.0,ROUTE_0030,119153.0,2226.0,강남역 분석 기준점,127.02762,37.49794,767.9,270.2,85.7,0.0,18.80999947,17.31999969,16.87000084,18.80999947,10.36,21 route samples matched to nearest official elevation point,-1.4899997800000016,1.9399986300000016,시작점보다 낮은 저점과 침수중첩이 있어 물고임 취약 가능성; 속도 실측 아님,공식 표고점 기반 21개 표본 파생,침수중첩 주의,공식 경로 후보의 상대비교이며 안전경로 확정 아님
