unq_no,se_cd,se_nm,pstn_info_raw,first_sampled_hour,last_sampled_hour,sampled_hour_count,api_row_count,includes_event_hour,selection_rule,location_variant_count,historical_validity_confirmed,normalized_address,geocode_query,geocode_provider,coordinate_crs,lat,lon,geocode_quality,geocode_display_name,geocode_osm_type,geocode_osm_id
22-0011,22,서초,"서초구 강남대로 375앞 맨홀(강남역#6번출입구옆, 서초현대타워앞)",2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 강남대로 375,서울특별시 서초구 강남대로 375,OpenStreetMap Nominatim,EPSG:4326,37.4963924,127.0278661,EXACT_ADDRESS_CANDIDATE,"서초현대타워주상복합, 375, 강남대로, 서초2동, 서초구, 서울특별시, 06620, 대한민국",relation,19640542
22-0012,22,서초,"서초구 서운로21길 2앞 전용사각(서초빗물펌프장내 박스, 서일중학교체육관 뒤)",2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 서운로 21,서울특별시 서초구 서운로 21,OpenStreetMap Nominatim,EPSG:4326,37.4863375,127.0292523,LANDMARK_MATCH_MANUAL_REVIEW,"서운로, 3반, 2통, 서초2동, 서초구, 서울특별시, 06732, 대한민국",way,560607461
22-0013,22,서초,"서초구 고무래로 94월편 보도내 작업구 하수박스 천장 
(현대4차아파트301동옆 월편, 삼호가든아파트 다동옆)",2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 고무래로 94,서울특별시 서초구 고무래로 94,OpenStreetMap Nominatim,EPSG:4326,37.5023309,127.0143305,LANDMARK_MATCH_MANUAL_REVIEW,"고무래로, 반포1동, 서초구, 서울특별시, 06599, 대한민국",way,522783551
22-0014,22,서초,"서초구 서초대로78길38앞 (서초동1396) 삼성화재 맞은편, 2018/07/06편집_장비제원업데이트요망",2022011512,2022121512,15,853,True,EVENT_HOUR_2022080821,1,False,서울특별시 서초구 서초대로 78,서울특별시 서초구 서초대로 78,OpenStreetMap Nominatim,EPSG:4326,37.4889191,126.9977329,ROAD_MATCH,"서초대로, 방배1동, 서초구, 서울특별시, 06661, 대한민국",way,685261325
23-0001,23,강남,강남구 압구정로20길 6앞 맨홀&lt;한스빌딩(더플랜성형외과)앞~백상빌딩간 횡단보도내&gt;,2022011512,2022121512,15,896,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 압구정로 20,서울특별시 강남구 압구정로 20,OpenStreetMap Nominatim,EPSG:4326,37.52735,127.0288606,LANDMARK_MATCH_MANUAL_REVIEW,"압구정로, 가로수길, 압구정동, 신사동, 강남구, 서울특별시, 06022, 대한민국",way,46677733
23-0002,23,강남,"강남구 압구정로128앞 맨홀(신사동주민센터앞 횡단보도내, 현대고 서측정문앞)",2022011512,2022121512,15,900,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 압구정로 128,서울특별시 강남구 압구정로 128,OpenStreetMap Nominatim,EPSG:4326,37.5239801,127.0228273,EXACT_ADDRESS_CANDIDATE,"신사동 주민센터, 128, 압구정로, 가로수길, 신사동, 강남구, 서울특별시, 06029, 대한민국",way,357338484
23-0003,23,강남,"강남구 남부순환로2947앞(재경빌딩앞 횡단보도내, 대치역사거리)",2022011512,2022121512,15,865,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 남부순환로 2947,서울특별시 강남구 남부순환로 2947,OpenStreetMap Nominatim,EPSG:4326,37.4946061,127.0627349,EXACT_ADDRESS_CANDIDATE,"대원빌딩, 2947, 남부순환로, 대치1동, 강남구, 서울특별시, 06280, 대한민국",way,899375422
23-0004,23,강남,"강남구 삼성로212앞 맨홀(은마아파트1동~미도아파트208동간,중안차로 안전지대내)",2022011512,2022121512,15,900,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 삼성로 212,서울특별시 강남구 삼성로 212,OpenStreetMap Nominatim,EPSG:4326,37.4954674,127.0634159,EXACT_ADDRESS_CANDIDATE,"은마종합상가, 212, 삼성로, 대치동, 대치2동, 강남구, 서울특별시, 06284, 대한민국",way,775687309
23-0005,23,강남,테헤란로435앞 맨홀(대종빌딩~삼영빌딩간 횡단보도앞 테헤란로측),2022011512,2022121512,15,900,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 테헤란로 435,서울특별시 강남구 테헤란로 435,OpenStreetMap Nominatim,EPSG:4326,37.5066519,127.0546862,EXACT_ADDRESS_CANDIDATE,"435, 테헤란로, 삼성2동, 강남구, 서울특별시, 06159, 대한민국",way,804792369
23-0006,23,강남,강남구 역삼로 124앞 맨홀(청보빌딩앞 정지선앞~역삼로123 인정빌딩월편),2022081512,2022121512,7,420,False,MOST_OBSERVED_2022_SNAPSHOTS,1,False,서울특별시 강남구 역삼로 124,서울특별시 강남구 역삼로 124,OpenStreetMap Nominatim,EPSG:4326,37.4995545,127.0478452,LANDMARK_MATCH_MANUAL_REVIEW,"역삼로, 역삼동, 역삼2동, 강남구, 서울특별시, 06216, 대한민국",way,522435831
23-0007,23,강남,서울특별시 강남구 성수대교남단 교차로 윤호병원 보도 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 윤호병원,,OpenStreetMap Nominatim,EPSG:4326,,,UNMATCHED,,,
23-0008,23,강남,서울특별시 강남구 압구정로 46길 4 스틱윗미 도로 앞,2022011512,2022101512,13,780,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 압구정로 46,서울특별시 강남구 압구정로 46,OpenStreetMap Nominatim,EPSG:4326,37.52735,127.0288606,LANDMARK_MATCH_MANUAL_REVIEW,"압구정로, 가로수길, 압구정동, 신사동, 강남구, 서울특별시, 06022, 대한민국",way,46677733
23-0009,23,강남,서울특별시 강남구 도산대로49길 21 셀코스메트 도산 공원 부티크 도로 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 도산대로 49,서울특별시 강남구 도산대로 49,OpenStreetMap Nominatim,EPSG:4326,37.517912,127.0241023,LANDMARK_MATCH_MANUAL_REVIEW,"도산대로, 논현동, 논현1동, 강남구, 서울특별시, 06039, 대한민국",way,472042767
23-0010,23,강남,서울특별시 강남구 도산대로85길 56 현대한강아파트 도로 옆,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 도산대로 85,서울특별시 강남구 도산대로 85,OpenStreetMap Nominatim,EPSG:4326,37.517912,127.0241023,LANDMARK_MATCH_MANUAL_REVIEW,"도산대로, 논현동, 논현1동, 강남구, 서울특별시, 06039, 대한민국",way,472042767
23-0011,23,강남,서울특별시 강남구 삼성로 148길 우락뽈락 보도 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 삼성로 148,서울특별시 강남구 삼성로 148,OpenStreetMap Nominatim,EPSG:4326,37.5028366,127.0588629,LANDMARK_MATCH_MANUAL_REVIEW,"삼성로, 대치동, 대치2동, 강남구, 서울특별시, 06186, 대한민국",way,46618899
23-0012,23,강남,서울특별시 강남구 학동로 67길 14 이마트24 도로 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 학동로 67,서울특별시 강남구 학동로 67,OpenStreetMap Nominatim,EPSG:4326,37.5205878,127.0585723,LANDMARK_MATCH_MANUAL_REVIEW,"학동로, 청담동, 강남구, 서울특별시, 06078, 대한민국",way,218722047
23-0013,23,강남,서울특별시 강남구 학동로 413 보도 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 학동로 413,서울특별시 강남구 학동로 413,OpenStreetMap Nominatim,EPSG:4326,37.5181537,127.0451919,EXACT_ADDRESS_CANDIDATE,"브라이드손윤희, 413, 학동로, 청담동, 강남구, 서울특별시, 06069, 대한민국",way,463177143
23-0014,23,강남,서울특별시 강남구 개포로 140길 현대블루핸즈 도로 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 개포로 140,서울특별시 강남구 개포로 140,OpenStreetMap Nominatim,EPSG:4326,37.4913946,127.0727728,LANDMARK_MATCH_MANUAL_REVIEW,"개포로, 개포동, 개포2동, 강남구, 서울특별시, 06346, 대한민국",way,522325954
23-0015,23,강남,서울특별시 강남구 일원로5길 85 일반주택 도로 앞,2022011512,2022111512,10,600,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 일원로5,서울특별시 강남구 일원로,OpenStreetMap Nominatim,EPSG:4326,37.4923272,127.0801611,ROAD_NAME_ONLY_APPROX,"일원로, 일원1동, 강남구, 서울특별시, 06337, 대한민국",way,522343759
23-0016,23,강남,서울특별시 강남구 역삼동 820-5,2022011512,2022051512,5,300,False,MOST_OBSERVED_2022_SNAPSHOTS,1,False,서울특별시 강남구 역삼동 820-5,서울특별시 강남구 역삼동 820-5,OpenStreetMap Nominatim,EPSG:4326,37.49988,127.03856,ROAD_NAME_ONLY_APPROX,"역삼동, 역삼2동, 강남구, 서울특별시, 06220, 대한민국",node,415155292
23-0017,23,강남,서울특별시 강남구 광평로 20길 63 서울로봇고등학교 정문 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 광평로 20,서울특별시 강남구 광평로 20,OpenStreetMap Nominatim,EPSG:4326,37.4826136,127.0782028,LANDMARK_MATCH_MANUAL_REVIEW,"광평로, 일원동, 일원본동, 강남구, 서울특별시, 06363, 대한민국",way,275627431
23-0018,23,강남,서울특별시 강남구 대왕중교 교차로 일원본동 주민센터 도로 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 일원본동 주민센터,서울특별시 강남구 일원본동 주민센터,OpenStreetMap Nominatim,EPSG:4326,37.4833681,127.0864944,LANDMARK_MATCH_MANUAL_REVIEW,"일원본동 주민센터, 126, 광평로, 일원동, 일원본동, 강남구, 서울특별시, 06361, 대한민국",way,705689785
23-0019,23,강남,서울특별시 강남구 광평로 51길 8 로얄프라자 도로 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 광평로 51,서울특별시 강남구 광평로 51,OpenStreetMap Nominatim,EPSG:4326,37.4855748,127.0758327,LANDMARK_MATCH_MANUAL_REVIEW,"광평로, 개포동, 개포2동, 강남구, 서울특별시, 06345, 대한민국",way,470150366
23-0020,23,강남,서울특별시 강남구 논현동 143-14,2022011512,2022051512,5,300,False,MOST_OBSERVED_2022_SNAPSHOTS,1,False,서울특별시 강남구 논현동 143-14,서울특별시 강남구 논현동 143-14,OpenStreetMap Nominatim,EPSG:4326,37.5123018,127.0294935,ROAD_NAME_ONLY_APPROX,"논현동, 논현1동, 강남구, 서울특별시, 06112, 대한민국",node,415153961
23-0021,23,강남,서울특별시 강남구 광평로 202 SK주유소 공원 도로 앞,2022011512,2022111512,14,840,True,EVENT_HOUR_2022080821,1,False,서울특별시 강남구 광평로 202,서울특별시 강남구 광평로 202,OpenStreetMap Nominatim,EPSG:4326,37.4841589,127.0950203,EXACT_ADDRESS_CANDIDATE,"202, 광평로, 수서동, 일원본동, 강남구, 서울특별시, 06362, 대한민국",way,1029259112
